// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/davidkakis/RiderProjects/XMLParser/XMLParserConsole/bin/Release/netcoreapp2.1/712e58a5-b755-42f3-83a9-572416601593
// command took 3s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/davidkakis/RiderProjects/XMLParser/XMLParserConsole/bin/Release/netcoreapp2.1/712e58a5-b755-42f3-83a9-572416601593
// command took 8.79s and exited with 0
// ***** Done, took 00:00:12 (12.16 sec)   *****
// Found 2 benchmarks:
//   CompareXmlCorrection.BenchmarkRegex: DefaultJob
//   CompareXmlCorrection.BenchmarkLoopingChars: DefaultJob

// **************************
// Benchmark: CompareXmlCorrection.BenchmarkRegex: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "712e58a5-b755-42f3-83a9-572416601593.dll" --benchmarkName "XMLParserConsole.CompareXmlCorrection.BenchmarkRegex" --job "Default" --benchmarkId 0 in /Users/davidkakis/RiderProjects/XMLParser/XMLParserConsole/bin/Release/netcoreapp2.1/712e58a5-b755-42f3-83a9-572416601593/bin/Release/netcoreapp2.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.8 (CoreCLR 4.6.27317.03, CoreFX 4.6.27317.03), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadActual  43: 8192 op, 741570694.00 ns, 90.5238 us/op
WorkloadActual  44: 8192 op, 755719274.00 ns, 92.2509 us/op
WorkloadActual  45: 8192 op, 769711474.00 ns, 93.9589 us/op
WorkloadActual  46: 8192 op, 832864826.00 ns, 101.6681 us/op
WorkloadActual  47: 8192 op, 755645354.00 ns, 92.2419 us/op
WorkloadActual  48: 8192 op, 733818410.00 ns, 89.5774 us/op
WorkloadActual  49: 8192 op, 764348167.00 ns, 93.3042 us/op
WorkloadActual  50: 8192 op, 730426014.00 ns, 89.1633 us/op
WorkloadActual  51: 8192 op, 716289673.00 ns, 87.4377 us/op
WorkloadActual  52: 8192 op, 726145990.00 ns, 88.6409 us/op
WorkloadActual  53: 8192 op, 753872716.00 ns, 92.0255 us/op
WorkloadActual  54: 8192 op, 747810507.00 ns, 91.2855 us/op
WorkloadActual  55: 8192 op, 709758878.00 ns, 86.6405 us/op
WorkloadActual  56: 8192 op, 805904397.00 ns, 98.3770 us/op
WorkloadActual  57: 8192 op, 803078610.00 ns, 98.0321 us/op
WorkloadActual  58: 8192 op, 837301887.00 ns, 102.2097 us/op
WorkloadActual  59: 8192 op, 738687530.00 ns, 90.1718 us/op
WorkloadActual  60: 8192 op, 1107174468.00 ns, 135.1531 us/op
WorkloadActual  61: 8192 op, 1102073640.00 ns, 134.5305 us/op
WorkloadActual  62: 8192 op, 815025538.00 ns, 99.4904 us/op
WorkloadActual  63: 8192 op, 741606700.00 ns, 90.5282 us/op
WorkloadActual  64: 8192 op, 757351767.00 ns, 92.4502 us/op
WorkloadActual  65: 8192 op, 749078003.00 ns, 91.4402 us/op
WorkloadActual  66: 8192 op, 806395385.00 ns, 98.4369 us/op
WorkloadActual  67: 8192 op, 721193582.00 ns, 88.0363 us/op

// AfterActualRun
WorkloadResult   1: 8192 op, 737988750.00 ns, 90.0865 us/op
WorkloadResult   2: 8192 op, 717121847.00 ns, 87.5393 us/op
WorkloadResult   3: 8192 op, 804022454.00 ns, 98.1473 us/op
WorkloadResult   4: 8192 op, 699369168.00 ns, 85.3722 us/op
WorkloadResult   5: 8192 op, 767270325.00 ns, 93.6609 us/op
WorkloadResult   6: 8192 op, 768060466.00 ns, 93.7574 us/op
WorkloadResult   7: 8192 op, 730034349.00 ns, 89.1155 us/op
WorkloadResult   8: 8192 op, 749665870.00 ns, 91.5119 us/op
WorkloadResult   9: 8192 op, 787929478.00 ns, 96.1828 us/op
WorkloadResult  10: 8192 op, 712034974.00 ns, 86.9183 us/op
WorkloadResult  11: 8192 op, 747714179.00 ns, 91.2737 us/op
WorkloadResult  12: 8192 op, 776598948.00 ns, 94.7997 us/op
WorkloadResult  13: 8192 op, 710794854.00 ns, 86.7669 us/op
WorkloadResult  14: 8192 op, 732599945.00 ns, 89.4287 us/op
WorkloadResult  15: 8192 op, 745016069.00 ns, 90.9443 us/op
WorkloadResult  16: 8192 op, 719428738.00 ns, 87.8209 us/op
WorkloadResult  17: 8192 op, 699530136.00 ns, 85.3919 us/op
WorkloadResult  18: 8192 op, 731879051.00 ns, 89.3407 us/op
WorkloadResult  19: 8192 op, 800444110.00 ns, 97.7105 us/op
WorkloadResult  20: 8192 op, 786075814.00 ns, 95.9565 us/op
WorkloadResult  21: 8192 op, 799086961.00 ns, 97.5448 us/op
WorkloadResult  22: 8192 op, 744158962.00 ns, 90.8397 us/op
WorkloadResult  23: 8192 op, 702438561.00 ns, 85.7469 us/op
WorkloadResult  24: 8192 op, 709844988.00 ns, 86.6510 us/op
WorkloadResult  25: 8192 op, 787772163.00 ns, 96.1636 us/op
WorkloadResult  26: 8192 op, 759906828.00 ns, 92.7621 us/op
WorkloadResult  27: 8192 op, 697364188.00 ns, 85.1275 us/op
WorkloadResult  28: 8192 op, 750083156.00 ns, 91.5629 us/op
WorkloadResult  29: 8192 op, 726882920.00 ns, 88.7308 us/op
WorkloadResult  30: 8192 op, 722868225.00 ns, 88.2408 us/op
WorkloadResult  31: 8192 op, 723103827.00 ns, 88.2695 us/op
WorkloadResult  32: 8192 op, 759754644.00 ns, 92.7435 us/op
WorkloadResult  33: 8192 op, 744810127.00 ns, 90.9192 us/op
WorkloadResult  34: 8192 op, 756503536.00 ns, 92.3466 us/op
WorkloadResult  35: 8192 op, 750496914.00 ns, 91.6134 us/op
WorkloadResult  36: 8192 op, 789008533.00 ns, 96.3145 us/op
WorkloadResult  37: 8192 op, 790441984.00 ns, 96.4895 us/op
WorkloadResult  38: 8192 op, 770821763.00 ns, 94.0945 us/op
WorkloadResult  39: 8192 op, 784090656.00 ns, 95.7142 us/op
WorkloadResult  40: 8192 op, 741521419.00 ns, 90.5178 us/op
WorkloadResult  41: 8192 op, 755669999.00 ns, 92.2449 us/op
WorkloadResult  42: 8192 op, 769662199.00 ns, 93.9529 us/op
WorkloadResult  43: 8192 op, 832815551.00 ns, 101.6621 us/op
WorkloadResult  44: 8192 op, 755596079.00 ns, 92.2358 us/op
WorkloadResult  45: 8192 op, 733769135.00 ns, 89.5714 us/op
WorkloadResult  46: 8192 op, 764298892.00 ns, 93.2982 us/op
WorkloadResult  47: 8192 op, 730376739.00 ns, 89.1573 us/op
WorkloadResult  48: 8192 op, 716240398.00 ns, 87.4317 us/op
WorkloadResult  49: 8192 op, 726096715.00 ns, 88.6349 us/op
WorkloadResult  50: 8192 op, 753823441.00 ns, 92.0195 us/op
WorkloadResult  51: 8192 op, 747761232.00 ns, 91.2794 us/op
WorkloadResult  52: 8192 op, 709709603.00 ns, 86.6345 us/op
WorkloadResult  53: 8192 op, 805855122.00 ns, 98.3710 us/op
WorkloadResult  54: 8192 op, 803029335.00 ns, 98.0260 us/op
WorkloadResult  55: 8192 op, 837252612.00 ns, 102.2037 us/op
WorkloadResult  56: 8192 op, 738638255.00 ns, 90.1658 us/op
WorkloadResult  57: 8192 op, 814976263.00 ns, 99.4844 us/op
WorkloadResult  58: 8192 op, 741557425.00 ns, 90.5221 us/op
WorkloadResult  59: 8192 op, 757302492.00 ns, 92.4442 us/op
WorkloadResult  60: 8192 op, 749028728.00 ns, 91.4342 us/op
WorkloadResult  61: 8192 op, 806346110.00 ns, 98.4309 us/op
WorkloadResult  62: 8192 op, 721144307.00 ns, 88.0303 us/op
GC:  0 0 0 0 0

// AfterAll

Mean = 91.9573 us, StdErr = 0.5300 us (0.58%); N = 62, StdDev = 4.1735 us
Min = 85.1275 us, Q1 = 88.7308 us, Median = 91.4731 us, Q3 = 94.7997 us, Max = 102.2037 us
IQR = 6.0689 us, LowerFence = 79.6275 us, UpperFence = 103.9030 us
ConfidenceInterval = [90.1248 us; 93.7898 us] (CI 99.9%), Margin = 1.8325 us (1.99% of Mean)
Skewness = 0.44, Kurtosis = 2.45, MValue = 2.64

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/XMLParserConsole.CompareXmlCorrection-report.csv
  BenchmarkDotNet.Artifacts/results/XMLParserConsole.CompareXmlCorrection-report-github.md
  BenchmarkDotNet.Artifacts/results/XMLParserConsole.CompareXmlCorrection-report.html

// * Detailed results *
CompareXmlCorrection.BenchmarkRegex: DefaultJob
Runtime = .NET Core 2.1.8 (CoreCLR 4.6.27317.03, CoreFX 4.6.27317.03), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 163.2181 us, StdErr = 1.3339 us (0.82%); N = 91, StdDev = 12.7248 us
Min = 147.0031 us, Q1 = 153.5893 us, Median = 159.0748 us, Q3 = 168.6299 us, Max = 203.5822 us
IQR = 15.0406 us, LowerFence = 131.0283 us, UpperFence = 191.1908 us
ConfidenceInterval = [158.6802 us; 167.7560 us] (CI 99.9%), Margin = 4.5379 us (2.78% of Mean)
Skewness = 1.28, Kurtosis = 4, MValue = 2.17
-------------------- Histogram --------------------
[146.748 us ; 151.981 us) | @@@@@@@@@@
[151.981 us ; 156.932 us) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[156.932 us ; 162.882 us) | @@@@@@@@@@@@@@@@@
[162.882 us ; 168.982 us) | @@@@@@@@@@@@@
[168.982 us ; 175.742 us) | @@@@@@@@@
[175.742 us ; 181.659 us) | @@@
[181.659 us ; 186.610 us) | @@@
[186.610 us ; 193.890 us) | @@@@
[193.890 us ; 199.215 us) | @
[199.215 us ; 204.166 us) | @@
---------------------------------------------------

CompareXmlCorrection.BenchmarkLoopingChars: DefaultJob
Runtime = .NET Core 2.1.8 (CoreCLR 4.6.27317.03, CoreFX 4.6.27317.03), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 91.9573 us, StdErr = 0.5300 us (0.58%); N = 62, StdDev = 4.1735 us
Min = 85.1275 us, Q1 = 88.7308 us, Median = 91.4731 us, Q3 = 94.7997 us, Max = 102.2037 us
IQR = 6.0689 us, LowerFence = 79.6275 us, UpperFence = 103.9030 us
ConfidenceInterval = [90.1248 us; 93.7898 us] (CI 99.9%), Margin = 1.8325 us (1.99% of Mean)
Skewness = 0.44, Kurtosis = 2.45, MValue = 2.64
-------------------- Histogram --------------------
[ 85.100 us ;  86.946 us) | @@@@@@@@
[ 86.946 us ;  89.619 us) | @@@@@@@@@@@@@
[ 89.619 us ;  92.355 us) | @@@@@@@@@@@@@@@@@
[ 92.355 us ;  94.688 us) | @@@@@@@@
[ 94.688 us ;  97.008 us) | @@@@@@@
[ 97.008 us ; 100.914 us) | @@@@@@@
[100.914 us ; 103.126 us) | @@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=macOS Mojave 10.14.1 (18B75) [Darwin 18.2.0]
Intel Core i5-3210M CPU 2.50GHz (Ivy Bridge), 1 CPU, 4 logical and 2 physical cores
.NET Core SDK=2.1.504
  [Host]     : .NET Core 2.1.8 (CoreCLR 4.6.27317.03, CoreFX 4.6.27317.03), 64bit RyuJIT
  DefaultJob : .NET Core 2.1.8 (CoreCLR 4.6.27317.03, CoreFX 4.6.27317.03), 64bit RyuJIT


|                Method |      Mean |    Error |    StdDev |    Median |
|---------------------- |----------:|---------:|----------:|----------:|
|        BenchmarkRegex | 163.22 us | 4.538 us | 12.725 us | 159.07 us |
| BenchmarkLoopingChars |  91.96 us | 1.832 us |  4.174 us |  91.47 us |

// * Hints *
Outliers
  CompareXmlCorrection.BenchmarkRegex: Default        -> 9 outliers were removed (209.54 us..292.25 us)
  CompareXmlCorrection.BenchmarkLoopingChars: Default -> 5 outliers were removed (107.32 us..135.15 us)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  Median : Value separating the higher half of all measurements (50th percentile)
  1 us   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:02:16 (136.2 sec), executed benchmarks: 2

Global total time: 00:02:28 (148.39 sec), executed benchmarks: 2
// * Artifacts cleanup *
